Module	Section	Sample Name	Source
Picard	DuplicationMetrics	1O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/1O.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	P11_1	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/P11_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	P11_3	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/P11_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	P11_2	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/P11_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/3O.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	2O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/picard/markduplicates/2O.markdup.sorted.MarkDuplicates.metrics.txt
Preseq	all_sections	P11_3.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/P11_3.lc_extrap.txt
Preseq	all_sections	P11_2.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/P11_2.lc_extrap.txt
Preseq	all_sections	1O.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/1O.lc_extrap.txt
Preseq	all_sections	3O.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/3O.lc_extrap.txt
Preseq	all_sections	P11_1.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/P11_1.lc_extrap.txt
Preseq	all_sections	2O.lc_extrap	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/preseq/2O.lc_extrap.txt
QualiMap	rna_genome_results	2O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/2O/rnaseq_qc_results.txt
QualiMap	rna_genome_results	P11_3	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/P11_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	3O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/3O/rnaseq_qc_results.txt
QualiMap	rna_genome_results	P11_1	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/P11_1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	P11_2	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/P11_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	1O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/1O/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	2O	/storage2/Hincode/S-60-47-61-2024-RNASeq_0240725_LH00206_0043_A22MLN2LT3/navarra/work/84/f11fc86625b2d7ce09c9127f971176/qualimap/2O/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
