gene_id	gene_name	X1O	X2O	X3O	P11_1	P11_2	P11_3
ENSG00000000003	TSPAN6	1033	740.999	1060.999	1008	850	850
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	1862.999	1650	2585.999	2173	2003.001	2108.999
ENSG00000000457	SCYL3	1058.999	957.999	963	1176.001	1137.999	1239
ENSG00000000460	FIRRM	2594	2156.001	2202	2698	2522	2600
ENSG00000000938	FGR	0	1	0	2	0	3
ENSG00000000971	CFH	1	0	1	2	0	0
ENSG00000001036	FUCA2	2619.999	2253	2484	2664	2647	3047
ENSG00000001084	GCLC	2058	1758.998	1717.998	2171.999	2223.999	2321.999
ENSG00000001167	NFYA	7035.897	5752.844	5371.936	7326.824	6928.841	7866.808
ENSG00000001460	STPG1	868	724.001	721.999	942	866	973.001
ENSG00000001461	NIPAL3	1039.001	800	698.999	1133.001	997	1228
ENSG00000001497	LAS1L	6677.998	6101.001	5393.999	7566.999	7605	8049.001
ENSG00000001561	ENPP4	0	0	0	0	0	3
ENSG00000001617	SEMA3F	536	433	401	480	553.001	557.999
ENSG00000001626	CFTR	0	0	0	3	0	0
ENSG00000001629	ANKIB1	6771	5216	4806	6954.999	6635	7365
ENSG00000001630	CYP51A1	5024.799	3932.992	4328.78	5310.843	4939.053	5243.952
ENSG00000001631	KRIT1	3668.769	2794.766	2731.474	3960.594	3481.794	3528.557
ENSG00000002016	RAD52	677.237	705.046	589.107	802.254	812.139	769.086
ENSG00000002079	MYH16	0	3	2	0	0	0
ENSG00000002330	BAD	2418	2120.999	3514.001	2619.001	2774.001	2886.999
ENSG00000002549	LAP3	2869.989	2644	3317.983	3188.999	3215.999	3493.991
ENSG00000002586	CD99	1952.2	2843.344	2390.422	2086.921	2674.3	2845.35
ENSG00000002587	HS3ST1	0	0	3	0	1	0
ENSG00000002726	AOC1	1	1	3	1	1	0
ENSG00000002745	WNT16	16	6	14	7	13	12
ENSG00000002746	HECW1	2	1	2.993	5	1	3
ENSG00000002822	MAD1L1	3390.42	3096.829	2806.817	3408.671	3668.087	4180.685
ENSG00000002834	LASP1	8262	6932.999	5928.999	8344.999	8297	9378.001
ENSG00000002919	SNX11	2397.001	2049.998	3014	2724	2705.998	2763.001
ENSG00000002933	TMEM176A	0	0	0	0	0	0
ENSG00000003056	M6PR	6826.001	5959	6538.999	7305	7300.999	7844.001
