gene_id	gene_name	X1O	X2O	X3O	P11_1	P11_2	P11_3
ENSG00000000003	TSPAN6	7.489778	5.489152	6.846806	7.100883	5.715919	5.483677
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	33.461506	31.268394	38.438843	34.47026	31.989067	31.801928
ENSG00000000457	SCYL3	5.193749	5.115059	3.897225	5.058378	5.083564	5.21608
ENSG00000000460	FIRRM	21.3642	18.414201	15.654407	20.860457	20.166316	20.105522
ENSG00000000938	FGR	0	0.00791	0	0.013451	0	0.022669
ENSG00000000971	CFH	0.004021	0	0.016499	0.010817	0	0
ENSG00000001036	FUCA2	20.413746	19.233765	15.241843	19.101391	18.190673	19.818528
ENSG00000001084	GCLC	29.089002	21.240133	17.451085	27.995143	28.471543	29.689146
ENSG00000001167	NFYA	30.987854	26.811289	20.922626	29.104801	28.530658	31.289542
ENSG00000001460	STPG1	6.377169	5.653876	4.294509	6.257229	5.378994	5.510023
ENSG00000001461	NIPAL3	3.370534	2.813474	2.22365	3.571064	3.017768	3.484756
ENSG00000001497	LAS1L	45.770421	42.771735	31.774928	46.203197	45.658567	48.576878
ENSG00000001561	ENPP4	0	0	0	0	0	0.009137
ENSG00000001617	SEMA3F	2.961214	2.505927	1.819542	2.483998	3.006466	2.685551
ENSG00000001626	CFTR	0	0	0	0.109318	0	0
ENSG00000001629	ANKIB1	35.69868	22.442732	15.633688	24.759776	23.848451	24.501146
ENSG00000001630	CYP51A1	34.658268	30.342062	29.006787	31.380218	35.585428	36.582975
ENSG00000001631	KRIT1	17.999203	14.37844	10.67294	17.389403	14.949568	14.488668
ENSG00000002016	RAD52	11.609909	6.83159	8.887391	13.292418	12.144811	13.005955
ENSG00000002079	MYH16	0	0.008921	0.004625	0	0	0
ENSG00000002330	BAD	75.913639	54.224302	95.93727	59.429092	78.281599	64.983278
ENSG00000002549	LAP3	24.293496	23.87453	28.640349	29.248057	30.066652	30.351193
ENSG00000002586	CD99	32.952584	55.247579	35.85356	32.164512	42.93773	44.041998
ENSG00000002587	HS3ST1	0	0	0.005609	0	0.002037	0
ENSG00000002726	AOC1	0.022442	0.0239	0.017592	0.013274	0.006389	0
ENSG00000002745	WNT16	0.085807	0.034366	0.062366	0.075761	0.063095	0.055375
ENSG00000002746	HECW1	0.00338	0.003377	0.075737	0.08125	0.001529	0.078434
ENSG00000002822	MAD1L1	25.146202	26.39779	15.777841	23.951364	22.938007	26.189593
ENSG00000002834	LASP1	34.961947	32.255593	20.891038	32.080542	31.993749	41.108972
ENSG00000002919	SNX11	22.799772	19.630184	22.733076	22.510187	23.442294	21.812956
ENSG00000002933	TMEM176A	0	0	0	0	0	0
ENSG00000003056	M6PR	91.147666	89.67921	95.929758	91.038321	91.196874	120.423469
ENSG00000003096	KLHL13	141.139122	114.047574	107.227143	129.240987	116.425238	142.611227
ENSG00000003137	CYP26B1	0.01648	0.040702	0.009	0.041528	0.018642	0.021755
ENSG00000003147	ICA1	207.471478	198.088204	179.821794	213.996838	210.146818	212.740549
ENSG00000003249	DBNDD1	51.16634	47.302664	33.986687	47.069441	47.470205	51.579441
ENSG00000003393	ALS2	9.426986	8.662093	6.388777	9.639816	8.851901	9.327703
ENSG00000003400	CASP10	0.005741	0.006132	0.007153	0.010427	0.012661	0.017357
ENSG00000003402	CFLAR	10.859073	6.725151	6.873876	7.033972	8.080027	10.452345
ENSG00000003436	TFPI	0.009151	0.009774	0	0	0	0
ENSG00000003509	NDUFAF7	14.64609	15.096826	15.069061	19.926652	19.797118	17.233406
ENSG00000003756	RBM5	56.542607	53.118453	43.595458	62.168204	79.662304	68.588933
ENSG00000003987	MTMR7	4.59321	3.96647	3.719738	5.048226	3.505486	4.361427
ENSG00000003989	SLC7A2	1.25793	1.020557	0.617281	0.942121	0.996686	1.148602
ENSG00000004059	ARF5	301.982576	302.952251	391.468375	312.237452	324.195345	324.558793
ENSG00000004139	SARM1	38.669719	32.704703	20.639122	33.516893	32.168557	33.398089
ENSG00000004142	POLDIP2	69.553259	65.591308	67.603599	68.487374	70.316284	70.34379
ENSG00000004399	PLXND1	7.228515	7.281676	4.227724	9.390078	7.594848	7.747297
ENSG00000004455	AK2	121.789427	117.753032	143.341372	122.369183	121.962735	124.422224
ENSG00000004468	CD38	0.238158	0.343843	0.133556	0.273163	0.265842	0.302267
ENSG00000004478	FKBP4	143.6675	136.972807	125.606976	150.295174	151.45326	153.722783
ENSG00000004487	KDM1A	176.464027	159.822226	132.520159	166.723949	165.729648	177.971289
ENSG00000004534	RBM6	83.755038	84.922441	50.060658	93.03594	93.296763	92.973951
ENSG00000004660	CAMKK1	3.160625	3.281198	2.411919	3.352675	3.368677	3.328884
ENSG00000004700	RECQL	18.395169	15.135125	12.736689	17.929429	15.434023	16.779094
ENSG00000004766	VPS50	10.941609	10.874274	8.356605	11.330775	9.713094	10.426463
ENSG00000004776	HSPB6	0.595088	0.398099	0.192178	0.210095	0.400246	0.356346
ENSG00000004777	ARHGAP33	27.919432	41.667305	15.610542	39.108169	46.768883	37.636876
ENSG00000004779	NDUFAB1	156.089975	136.648226	183.642705	133.508897	133.83956	130.775927
ENSG00000004799	PDK4	0.22266	0.079309	0.073248	0.139081	0.105006	0.127793
ENSG00000004809	SLC22A16	0.018201	0.021544	0.007559	0.033056	0.008236	0.03266
ENSG00000004838	ZMYND10	1.52703	2.502097	1.343676	2.265578	2.191346	2.228082
ENSG00000004846	ABCB5	0.036767	0.011758	0	0	0.00552	0
ENSG00000004848	ARX	0	0.012569	3.716363	0.010687	4.39203	0.005063
ENSG00000004864	SLC25A13	60.257924	51.274671	35.781301	48.99647	55.273227	53.525105
ENSG00000004866	ST7	23.669378	23.29722	16.232726	20.645663	21.583697	21.485208
ENSG00000004897	CDC27	92.238456	73.921266	58.383053	82.144825	80.05982	78.41688
ENSG00000004939	SLC4A1	0.017257	0	0.003584	0.009007	0.008976	0.007424
ENSG00000004948	CALCR	0.061231	0.013923	0.007219	0.062351	0.008474	0.029913
ENSG00000004961	HCCS	19.925791	19.052926	20.214897	20.180432	21.225316	21.217523
ENSG00000004975	DVL2	45.191799	45.348844	33.925238	48.060523	46.261236	52.339932
ENSG00000005001	PRSS22	0.120097	0.214327	0.049245	0.077856	0.090806	0.107503
ENSG00000005007	UPF1	36.143066	32.89071	18.603979	35.233425	35.676725	37.722053
ENSG00000005020	SKAP2	0.485341	0.310084	0.356352	0.369899	0.49265	0.395281
ENSG00000005022	SLC25A5	470.621872	425.84054	475.08595	420.519791	455.213272	441.597109
ENSG00000005059	MCUB	21.727137	19.028853	19.113997	18.245166	18.740938	18.293219
ENSG00000005073	HOXA11	0	0	0	0	0	0.007092
ENSG00000005075	POLR2J	115.031005	116.3995	131.824409	121.642037	127.021999	123.655137
ENSG00000005100	DHX33	20.421003	17.468173	11.500172	20.300401	18.802643	20.615727
ENSG00000005102	MEOX1	0.006397	0	0	0	0	0
ENSG00000005108	THSD7A	11.788105	9.410656	6.313553	10.855847	10.1298	15.172641
ENSG00000005156	LIG3	28.173312	22.920165	16.419233	108.12925	23.092214	102.784548
ENSG00000005175	RPAP3	13.365325	12.318277	9.917941	13.379167	11.415942	10.980376
ENSG00000005187	ACSM3	0.156961	0.077607	0.039147	0.130857	0.147323	0.114874
ENSG00000005189	REXO5	14.336652	14.174876	12.90979	14.840592	15.694422	14.874172
ENSG00000005194	CIAPIN1	118.978789	118.349654	159.441604	121.146182	123.630204	134.095207
ENSG00000005206	SPPL2B	31.711768	40.094075	14.825474	39.714165	42.982763	35.888658
ENSG00000005238	ATOSB	6.765699	7.45331	4.302433	6.405537	8.191987	7.933119
ENSG00000005243	COPZ2	3.584086	4.875794	4.459825	3.939851	4.046078	4.528056
ENSG00000005249	PRKAR2B	20.309536	17.5208	15.530317	18.439178	17.376935	18.717244
ENSG00000005302	MSL3	15.946837	14.328441	14.831219	14.460543	13.964551	18.424256
ENSG00000005339	CREBBP	28.520459	23.452736	13.037108	27.163955	28.530863	30.285691
ENSG00000005379	TSPOAP1	8.803768	9.192357	4.854821	9.175371	10.18209	8.974391
ENSG00000005381	MPO	0	0	0	0.004751	0	0.00636
ENSG00000005421	PON1	0	0	0	0	0	0
ENSG00000005436	GCFC2	13.331257	10.419344	9.439758	11.282276	10.007044	10.981735
ENSG00000005448	WDR54	69.086989	68.199279	86.347334	64.044577	72.150258	67.250233
ENSG00000005469	CROT	4.551452	3.730491	3.787351	4.27338	4.983281	3.55456
ENSG00000005471	ABCB4	3.293717	2.923674	2.217408	6.272217	6.290274	7.286843
ENSG00000005483	KMT2E	22.355191	19.544404	10.549229	20.740716	18.185018	20.386797
ENSG00000005486	RHBDD2	79.627401	78.055437	58.714358	69.506633	77.178614	78.725972
ENSG00000005513	SOX8	0	0.003654	0.011367	0.011848	0.005807	0
ENSG00000005700	IBTK	7.424944	6.298488	4.134158	7.278666	6.705248	7.210556
ENSG00000005801	ZNF195	35.065803	34.886355	34.508411	38.627944	35.73211	33.915274
ENSG00000005810	MYCBP2	20.683478	12.633936	9.421063	16.451422	16.170296	20.126163
ENSG00000005812	FBXL3	9.700051	7.354124	7.079768	9.012011	7.841941	8.674172
ENSG00000005844	ITGAL	0	0.00797	0	0.087384	0.230461	0.004901
ENSG00000005882	PDK2	24.221605	27.205507	23.764157	23.713202	23.014281	26.997159
ENSG00000005884	ITGA3	6.175421	5.141407	1.963595	3.4049	3.068331	3.970981
ENSG00000005889	ZFX	13.561928	9.055131	6.310858	11.32219	9.121649	12.891356
ENSG00000005893	LAMP2	10.716764	7.778928	7.737023	8.568811	7.550086	7.410733
ENSG00000005961	ITGA2B	1.48608	1.417745	1.141921	2.357537	1.720888	2.153326
ENSG00000005981	ASB4	0	0	0.003656	0.032667	0.007965	0
ENSG00000006007	GDE1	28.51576	23.49742	19.405858	26.239026	21.339608	26.45543
ENSG00000006015	REX1BD	60.687504	65.362548	77.319228	63.114928	64.991149	63.277506
ENSG00000006016	CRLF1	0	0.022281	0.158511	0.018342	0.416992	0.008975
ENSG00000006025	OSBPL7	7.597988	8.533948	3.804472	9.780873	10.155703	8.328052
ENSG00000006042	TMEM98	109.006403	103.309945	117.98334	112.194363	110.309164	117.659448
ENSG00000006047	YBX2	11.180735	11.759126	7.136089	10.940247	12.721172	12.011898
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	2.135197	2.234066	1.354914	2.180732	2.300295	2.089721
ENSG00000006071	ABCC8	0.324635	0.425619	0.20451	0.427448	0.36474	0.371815
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	135.2449	163.971897	83.632574	172.493342	170.311915	168.403518
ENSG00000006125	AP2B1	95.400209	78.212182	56.202865	84.097729	81.226736	89.715152
ENSG00000006128	TAC1	0	0	0	0	0.019414	0
ENSG00000006194	ZNF263	17.412346	14.737195	13.112996	15.259166	16.035102	15.73427
ENSG00000006210	CX3CL1	8.81119	7.498406	5.340597	7.952815	7.769548	8.249818
ENSG00000006282	SPATA20	20.941755	21.20717	13.586201	22.426819	21.80609	20.623559
ENSG00000006283	CACNA1G	4.154646	3.444086	2.013252	3.677971	3.945397	4.036223
ENSG00000006327	TNFRSF12A	3.54385	3.077032	8.854924	6.075603	3.909025	8.899072
ENSG00000006377	DLX6	15.836	14.43874	10.81127	13.389469	11.593703	14.16815
ENSG00000006432	MAP3K9	3.889486	3.421853	1.920941	3.956691	4.019807	4.054005
ENSG00000006451	RALA	61.312842	52.760715	52.017486	64.81915	55.673627	60.272651
ENSG00000006453	BAIAP2L1	6.998465	6.53283	4.723191	7.018182	6.956386	7.033869
ENSG00000006459	KDM7A	8.950015	7.870057	2.320172	7.713565	8.427863	8.479032
ENSG00000006468	ETV1	14.578975	11.464271	8.898617	12.2115	12.278623	11.783583
